borough,latitude,longitude,AQI,pollutant,category,color,updated
Bronx,40.8197,-73.9481,39,PM2.5,Good,#00e400,2026-08-05 07:57
Brooklyn,40.694401,-73.928596,29,PM2.5,Good,#00e400,2026-08-05 07:57
Manhattan,40.770908,-74.036218,52,PM2.5,Moderate,#ffff00,2026-08-05 07:57
Queens,40.739264,-73.817694,40,PM2.5,Good,#00e400,2026-08-05 07:57
Staten Island,40.63306,-74.137156,32,PM2.5,Good,#00e400,2026-08-05 07:57
